"International Activity Name","Description","IA Country","Activity Type"
"Hemispheric University Consortium - Ocean Health Voyage","Produced by the School of Communication at the University of Miami, the Ocean Health Voyage is a groundbreaking online course that is filmed professionally in ten international locations and taught by some of the most distinguished marine scientists around the world. So far, 7 out of 14  Hemispheric University Consortium universities have confirmed its scheduling for Spring 2020, with faculty from each of them leading the course locally and collaborating among all of them, to have their students work together, hemispherically, in the course’s required projects.","Argentina","Education"
"International Conference InterAmerican Press Association Buenos Aires","Professor Treaster interviewed Bob Woodward of The Washington Post before audience of several hundred Latin American journalists and media owners gathered in Buenos Aires. He also served as a panelist on a discussion of Regional Politics.","Argentina","Education"
"Worlds of Journalism Study - Latin American and Caribbean Network (WJS3-LAC)","The Worlds of Journalism Study is the largest comparative study of working journalists in the world. It uses a comparative survey-based methodology. In the second wave researchers in or working on 60 countries interviewed more than 22,000 journalists about professional worldviews, working conditions, professional autonomy, and influences on work. For the third round journalist safety and risk, precarity and epistemology (views of fact-based truth) will also be studied. Dr. Sallie Hughes coordinates researchers in or working on 15 countries in Latin America and the Caribbean who are participating in the third round.","Argentina","Research"
"Pictures of the Year Latin America","Pictures of the Year International Latin America was created to celebrate excellence in documentary and artistic photography in Ibero-America. It has become the largest and one of the most important competitions in the region. POY Latam is not for profit and seeks to reach the general public through the organization of the contest, exhibitions, workshops and publications. Unlike most other contests, the judging is transparent and broadcast live.","Argentina","Service Activities"
"Higher Education Video Game Alliance (HEVGA)","Our mission is to create a platform for higher education leaders which will underscore the cultural, scientific, and economic importance of video game programs in colleges and universities. The key is to create a robust network of resources—including unified advocacy, policymaker engagement, media coverage, and external funding—in order to incubate and harness the impact of this community in a 21st-century learning environment.  HEVGA has a network of more than 175 global member institutions, issues annual reports on the global state of game focused education, and conducts workshops, training, and events to support game educators.

Learn more at https://hevga.org/about/","Australia","Service Activities"
"Faculty, Salzburg Academy on Media and Global Change","Professor Sanjeev Chatterjee has served on the faculty of Salzburg Academy on Media and Global Change for the past 13 years and is a Fellow of the Salzburg Global Seminar. Every year students (graduate and undergrad) and faculty from over 30 countries congregate in Salzburg and spend 3 weeks understanding and designing media interventions for pressing global issues. The 2019 theme was The Cost of Disbelief -Fracturing Societies and the Erosion of Trust. More at: 

https://www.salzburgglobal.org/news/latest-news/article/introducing-the-2019-media-academy.html

Professor Chatterjee has served on the faculty of Salzburg Academy on Media and Global Change for the past 13 years and is a Fellow of the Salzburg Global Seminar.","Austria","Education"
"Games for a Caribbean Climate","Professor Lien Tran received a grant from Invoking the Pause to introduce the use of games with local and regional climate and disaster risk management organizations in Barbados. In June 2014, Professor Tran organized and co-facilitated a 2-day workshop called ""Let's Adapt: Games for Climate Change Resiliency"" along with team members Reynette Royer from the IFRC's Red Cross Caribbean Disaster Risk Management Reference Center (CADRIM), Mini Saraswati from the Red Cross Red Crescent Climate Centre (RCCC), and Professor Clay Ewing (also from UM's School of Communication). As a result of this unique funding opportunity, these organizations were able to partner together for the first time and to introduce an innovative approach to reaching climate risk stakeholders in the Caribbean.

Workshop participants represented the Barbados Red Cross, Caribbean Disaster Emergency Management Agency (CDEMA), United Nations Development Programme (UNDP), Caribbean Institute for Meteorology & Hydrology (CIMH), Community Disaster Response Teams (CDRT), and the University of the West Indies’ Centre for Resource Management and Environmental Studies (CERMES). By connecting relevant parties from Barbados and around the region on new participatory approaches to adaptation, this workshop explored how interactive resources and game-based activities can assist in the task of communicating climate change information and invoking grassroots participation within Caribbean communities. As a direct result of this workshop, Professor Tran is now discussing future plans to formally adapt and disseminate some of the games presented at the workshop - like Humans vs. Mosquitoes - as well as new climate-related topics with communities in the Caribbean.","Barbados","Research"
"Humans vs. Mosquitoes","Humans vs. Mosquitoes is a simple non-digital game for social impact that educates players about the relationship between humans, mosquitoes, vector-borne diseases and the environment. Originally designed in 2011, the game has been used by facilitators in at least 4 continents as a fun and engaging way to teach audiences about vector-borne diseases. The game has been modified and adapted to work in various geographic regions as well as with different audiences. Humans vs. Mosquitoes can be played as an active physical play-based game, a thoughtful card game, and even with nothing but a set of instructions and a set of gestures.","Barbados","Research"
"Radio in the American Sector (RIAS) - German/ American Journalism Exchange","From meetings with the U.S. ambassador to NATO and the German Ambassador to the Czech Republic, to conversations with a former Stazi prisoner, the creator of the East Side Gallery painted on the remnants of the Berlin Wall and a Syrian refugee, the RIAS Fellowship offered an insider look at politics and media in Germany and beyond. As one of 13 American broadcast journalists selected for a two-week fully funded fellowship, it was a transformative experience  to interact with German leaders in politics and media and to learn about our similarities and our differences. The conversations provided an extensive amount of fodder for news stories, as well as, increased transatlantic understanding.","Belgium","Research"
"Worlds of Journalism Study - Latin American and Caribbean Network (WJS3-LAC)","The Worlds of Journalism Study is the largest comparative study of working journalists in the world. It uses a comparative survey-based methodology. In the second wave researchers in or working on 60 countries interviewed more than 22,000 journalists about professional worldviews, working conditions, professional autonomy, and influences on work. For the third round journalist safety and risk, precarity and epistemology (views of fact-based truth) will also be studied. Dr. Sallie Hughes coordinates researchers in or working on 15 countries in Latin America and the Caribbean who are participating in the third round.","Bolivia","Research"
"Visiting Professor, Universidad Federal Juiz da Fora (Brazil)","Dr. Sallie Hughes performed as a visiting professor at the School of Communication at the Universidad Federal Juiz da Fora in the state of Minas Gerais, Brazil. I offered a short course on Journalism Studies methodology focusing on journalists working in contexts of multifaceted risk. During the course, Dr. Hughes also began a research project with some of the advanced students and their professors.","Brazil","Education"
"International Exchange Program, Board Member, Global Ties, State Dept. Affiliate","Board Member since 2010. International government,  community leaders come to UM to engage  students and faculty.","Brazil","Education"
