"International Activity Name","Activity Start Date","Activity End Date","Country of Research Focus","Region of Research Focus","What Students are Participating?"
"Hemispheric University Consortium - Ocean Health Voyage","1/7/2020","5/15/2020","Argentina","Latin America & Caribbean","Undergraduate Students"
"UIndia - UM's Semester Abroad in India","1/7/2013","6/7/2018","India","South Asia","Undergraduate Students"
"Strangers To Peace","8/29/2016","8/29/2026","Colombia","Latin America & Caribbean","Undergraduate Students"
"Intercollegiate Debate - International and Cross-Cultural Competitions","8/15/1999","5/15/2029","United States","North America","Undergraduate Students"
"Modeling Temporal Tonal Relations in Polyphonic Music through Deep Networks","5/24/2018","5/24/2018","Taiwan, China","East Asia & Pacific","Graduate Students"
"A Community-Based Approach to HIV Prevention","3/1/2014","12/1/2014","Guatemala","Latin America & Caribbean","Graduate Students"
"Engaging the Capacity of Comadronas as HIV Prevention Sources in Rural Guatemala","7/1/2017","2/1/2018","Guatemala","Latin America & Caribbean","Graduate Students"
"A Community-Based Approach to HIV Prevention in Rural Guatemala","6/1/2015","6/1/2016","Guatemala","Latin America & Caribbean","Graduate Students"
"Applying the PEN-3 Cultural Model to Address HIV/AIDS Prevention","3/1/2014","6/1/2015","Guatemala","Latin America & Caribbean","Graduate Students"
"Research Fellow at  Shanghai International Studies University","1/16/2012","6/15/2012","China","East Asia & Pacific","Graduate Students"
"Ethical Use of New Technologies: Where Do Indian Journalists Stand?","12/16/2009","2/1/2012","India","South Asia","Graduate Students"
"Cops and Rubbers research study","11/1/2015","1/30/2017","South Africa","Sub- Saharan Africa","Graduate Students"
"News Frames and the Image of China in U.S. Elite Newspapers","11/5/2010","11/10/2010","China","East Asia & Pacific","Graduate Students"
"Cross-cultural research in Asia and among Asian immigrants in the US","11/29/2016","11/29/2036","Taiwan, China","East Asia & Pacific","Graduate Students"
"Professional Autonomy in Journalism","10/1/2012","7/16/2016","Colombia","Latin America & Caribbean","Undergraduate & Graduate Students"
"Study Tour Taking Students to Thailand in Cooperation with FIU","5/10/2017","6/5/2017","Thailand","East Asia & Pacific","Undergraduate & Graduate Students"
"New Faces of the Cuban Diaspora","1/16/2017","5/12/2017","United States","North America","Undergraduate & Graduate Students"
"Study Abroad in Paris/Amsterdam","5/21/2020","6/11/2020","France","Europe & Central Asia","Undergraduate & Graduate Students"
"International Workshop on Music, Computing, and Health","5/4/2019","5/8/2019","Netherlands","Europe & Central Asia","Undergraduate & Graduate Students"
"Center for International Media Education (CIME), GA State University","9/1/1997","8/1/2000","United States","North America","Undergraduate & Graduate Students"
"Globalness and Localness for Brands in the Transitioning Chinese Market","12/1/2018","8/31/2019","China","East Asia & Pacific","Undergraduate & Graduate Students"
"Last Song to Xenitia","1/1/2016","5/1/2017","Greece","Europe & Central Asia","Undergraduate & Graduate Students"
"Games for a Caribbean Climate","4/1/2014","10/31/2014","Barbados","Latin America & Caribbean","Undergraduate & Graduate Students"
"Social Responsibility in the Galapagos","6/6/2020","6/27/2020","Ecuador","Latin America & Caribbean","Undergraduate & Graduate Students"
"Latin American and Hispanic Media Legal Issues Conference","3/9/2017","3/9/2020","United States","North America","Undergraduate & Graduate Students"
"Immigration Games (Amiguia Americana)","12/1/2014","12/31/2024","United States","North America","Undergraduate & Graduate Students"
"Coverage of Immigrant Africans in South African Newspapers","7/1/2015","7/1/2015","South Africa","Sub- Saharan Africa","Undergraduate & Graduate Students"
"Public Conference about book 'How Charts Lie'","11/28/2019","11/28/2019","Denmark","Europe & Central Asia","Undergraduate & Graduate Students"
"Advisory Board Member, Center for Global Public Opinion in China","7/7/2008","","China","East Asia & Pacific","Undergraduate & Graduate Students"
"Semester at Sea Faculty Member","8/16/2004","12/12/2004","Japan","East Asia & Pacific","Undergraduate & Graduate Students"
"Study Abroad Program in Asia","5/12/2006","6/30/2010","China","East Asia & Pacific","Undergraduate & Graduate Students"
"Film Production:  ""Island"" and ""Telling Trees""","7/1/2017","8/1/2017","Greece","Europe & Central Asia","Undergraduate & Graduate Students"
